shop,category
C&A ,Clothing
Primark,Clothing
Perry Sport ,Clothing
HEMA,Clothing
H&M,Clothing
Zalando,Clothing
Zara,Clothing
ONLY,Clothing
Diesel,Clothing
The American Bar,Bar
Red Light Bar,Bar
Bar Tempel,Bar
Oude Jan,Bar
Bebop,Bar
Spirit Liqour Store Angel,Alcohol
Slijterij Sital,Alcohol
Slijterij Loyaal,Alcohol
Slijterij Aras,Alcohol
Gal & Gal,Alcohol
The Bulldog,Weed
Fly High,Weed
Weed Store,Weed
Balou,Weed
Green Day,Weed
Albert Heijn,Grocery
Jumbo,Grocery
Coop,Grocery
Vomar,Grocery
Hoogvliet,Grocery
Spar,Grocery
Steam,Gaming
GOG,Gaming
Origin,Gaming
Blizard,Gaming
Game Mania,Gaming
PlayStation,Gaming
Kwekkeboom,Coffee
Smokey,Coffee
Lellebel,Coffee
Starbucks,Coffee
Hunters Coffeeshop,Coffee